session_id	original_session_id
ses-jGCaMP8f+ANM471994+cell01	ses-jGCaMP8f_ANM471994_cell01
ses-jGCaMP8f+ANM471994+cell02	ses-jGCaMP8f_ANM471994_cell02
ses-jGCaMP8f+ANM471994+cell03	ses-jGCaMP8f_ANM471994_cell03
ses-jGCaMP8f+ANM471994+cell04	ses-jGCaMP8f_ANM471994_cell04
ses-jGCaMP8f+ANM471994+cell05	ses-jGCaMP8f_ANM471994_cell05
ses-jGCaMP8f+ANM471994+cell06	ses-jGCaMP8f_ANM471994_cell06
ses-jGCaMP8f+ANM471994+cell07	ses-jGCaMP8f_ANM471994_cell07
ses-jGCaMP8f+ANM471994+cell08	ses-jGCaMP8f_ANM471994_cell08
