onset	duration	nwb_table	angle	cycles_per_second	cycles_per_degree	amplitude	movie_number
223.424999	169.69216	epochs					
225.41739999999845	2.008800000003248	trials	135.0	1.0	0.05	1.0	0.0
229.41849999999977	1.9922999999980675	trials	360.0	1.0	0.05	1.0	0.0
233.4195000000036	1.9923999999955413	trials	90.0	1.0	0.05	1.0	0.0
237.42059999999765	1.9923000000053435	trials	315.0	1.0	0.05	1.0	0.0
241.42169999999896	1.9922999999980675	trials	45.0	1.0	0.05	1.0	0.0
245.4227000000028	1.984199999998964	trials	360.0	1.0	0.05	1.0	0.0
249.42379999999685	1.9841000000014901	trials	180.0	1.0	0.05	1.0	0.0
253.42489999999816	1.9841000000014901	trials	360.0	1.0	0.05	1.0	0.0
257.425900000002	1.984199999998964	trials	180.0	1.0	0.05	1.0	0.0
261.4270000000033	2.0005999999993946	trials	315.0	1.0	0.05	1.0	0.0
265.42809999999736	2.0005999999993946	trials	225.0	1.0	0.05	1.0	0.0
269.4291999999987	2.000500000001921	trials	225.0	1.0	0.05	1.0	0.0
273.4303	1.9922999999980675	trials	135.0	1.0	0.05	1.0	0.0
277.4314000000013	1.9922999999980675	trials	270.0	1.0	0.05	1.0	0.0
281.4325000000026	1.9922999999980675	trials	45.0	1.0	0.05	1.0	0.0
285.43359999999666	1.9923000000053435	trials	270.0	1.0	0.05	1.0	0.0
289.434699999998	1.9923000000053435	trials	225.0	1.0	0.05	1.0	0.0
293.4357999999993	1.9924000000028173	trials	315.0	1.0	0.05	1.0	0.0
297.4369000000006	1.9924000000028173	trials	315.0	1.0	0.05	1.0	0.0
301.4380000000019	1.984199999998964	trials	360.0	1.0	0.05	1.0	0.0
305.43910000000324	1.984199999998964	trials	45.0	1.0	0.05	1.0	0.0
309.440300000002	1.9841000000014901	trials	315.0	1.0	0.05	1.0	0.0
313.44140000000334	1.9840999999942142	trials	135.0	1.0	0.05	1.0	0.0
317.4424999999974	2.0005999999993946	trials	180.0	1.0	0.05	1.0	0.0
321.4435999999987	2.0005999999993946	trials	135.0	1.0	0.05	1.0	0.0
325.4447999999975	2.000500000001921	trials	360.0	1.0	0.05	1.0	0.0
329.4458999999988	2.000500000001921	trials	135.0	1.0	0.05	1.0	0.0
333.4470000000001	1.9924000000028173	trials	90.0	1.0	0.05	1.0	0.0
