onset	duration	nwb_table	angle	cycles_per_second	cycles_per_degree	amplitude	movie_number
1061.236001	164.22569999999996	epochs					
1063.2283000000025	1.9921999999933178	trials	315.0	1.0	0.05	1.0	0.0
1067.2290999999968	1.9922000000078697	trials	180.0	1.0	0.05	1.0	0.0
1071.2299000000057	1.9921999999933178	trials	225.0	1.0	0.05	1.0	0.0
1075.2307	1.9921999999933178	trials	270.0	1.0	0.05	1.0	0.0
1079.2314999999944	1.9922000000078697	trials	225.0	1.0	0.05	1.0	0.0
1083.2323000000033	1.9921999999933178	trials	225.0	1.0	0.05	1.0	0.0
1087.2332000000024	1.9921999999933178	trials	180.0	1.0	0.05	1.0	0.0
1091.2339999999967	1.9922000000078697	trials	90.0	1.0	0.05	1.0	0.0
1095.2348000000056	1.9839999999967404	trials	270.0	1.0	0.05	1.0	0.0
1099.2356	1.9841000000014901	trials	360.0	1.0	0.05	1.0	0.0
1103.236499999999	1.9839999999967404	trials	270.0	1.0	0.05	1.0	0.0
1107.2372999999934	1.9840000000112923	trials	270.0	1.0	0.05	1.0	0.0
1111.238200000007	1.9839999999967404	trials	135.0	1.0	0.05	1.0	0.0
1115.2390000000014	2.000400000004447	trials	90.0	1.0	0.05	1.0	0.0
1119.2399000000005	2.000400000004447	trials	180.0	1.0	0.05	1.0	0.0
1123.2406999999948	2.000400000004447	trials	90.0	1.0	0.05	1.0	0.0
1127.241599999994	2.000400000004447	trials	45.0	1.0	0.05	1.0	0.0
1131.2424000000028	1.9922999999980675	trials	315.0	1.0	0.05	1.0	0.0
1135.243300000002	1.9921999999933178	trials	360.0	1.0	0.05	1.0	0.0
1139.244200000001	1.9921999999933178	trials	270.0	1.0	0.05	1.0	0.0
1143.2449999999953	1.9922999999980675	trials	360.0	1.0	0.05	1.0	0.0
1147.2458999999944	1.9922000000078697	trials	315.0	1.0	0.05	1.0	0.0
1151.2467999999935	1.9922000000078697	trials	135.0	1.0	0.05	1.0	0.0
1155.2477000000072	1.9921999999933178	trials	135.0	1.0	0.05	1.0	0.0
1159.2485000000015	1.9922999999980675	trials	315.0	1.0	0.05	1.0	0.0
1163.2494000000006	1.9922999999980675	trials	360.0	1.0	0.05	1.0	0.0
1167.2502999999997	1.9839999999967404	trials	225.0	1.0	0.05	1.0	0.0
1171.2511999999988	1.9839999999967404	trials	180.0	1.0	0.05	1.0	0.0
1175.2520999999979	1.9839999999967404	trials	360.0	1.0	0.05	1.0	0.0
1179.252999999997	1.9839999999967404	trials	45.0	1.0	0.05	1.0	0.0
1183.253899999996	2.000400000004447	trials	225.0	1.0	0.05	1.0	0.0
1187.254700000005	2.000499999994645	trials	90.0	1.0	0.05	1.0	0.0
1191.255600000004	2.000499999994645	trials	135.0	1.0	0.05	1.0	0.0
1195.2565000000031	2.000499999994645	trials	180.0	1.0	0.05	1.0	0.0
1199.2574000000022	2.000499999994645	trials	45.0	1.0	0.05	1.0	0.0
1203.2583000000013	1.9922999999980675	trials	315.0	1.0	0.05	1.0	0.0
1207.2592000000004	1.9922999999980675	trials	45.0	1.0	0.05	1.0	0.0
1211.2600999999995	1.9922999999980675	trials	135.0	1.0	0.05	1.0	0.0
1215.2609999999986	1.9922999999980675	trials	90.0	1.0	0.05	1.0	0.0
1219.2618999999977	1.9922999999980675	trials	45.0	1.0	0.05	1.0	0.0
1247.685	162.32276000000002	epochs					
1249.6772999999957	2.0086000000010245	trials	135.0	1.0	0.05	1.0	1.0
1253.6781999999948	1.9840000000112923	trials	360.0	1.0	0.05	1.0	1.0
1257.6790000000037	1.9839999999967404	trials	90.0	1.0	0.05	1.0	1.0
1261.679799999998	1.9841000000014901	trials	315.0	1.0	0.05	1.0	1.0
1265.6806999999972	1.9839999999967404	trials	45.0	1.0	0.05	1.0	1.0
1269.6815999999963	2.000400000004447	trials	360.0	1.0	0.05	1.0	1.0
1273.6824000000051	2.000399999989895	trials	180.0	1.0	0.05	1.0	1.0
1277.6833000000042	2.000399999989895	trials	360.0	1.0	0.05	1.0	1.0
1281.6840999999986	2.000499999994645	trials	180.0	1.0	0.05	1.0	1.0
1285.6849999999977	2.000400000004447	trials	315.0	1.0	0.05	1.0	1.0
1289.6858999999968	1.9922000000078697	trials	225.0	1.0	0.05	1.0	1.0
1293.6867000000057	1.9922999999980675	trials	225.0	1.0	0.05	1.0	1.0
1297.6876000000047	1.9922999999980675	trials	135.0	1.0	0.05	1.0	1.0
1301.6885000000038	1.9921999999933178	trials	270.0	1.0	0.05	1.0	1.0
1305.689400000003	1.9921999999933178	trials	45.0	1.0	0.05	1.0	1.0
1309.690300000002	1.9921999999933178	trials	270.0	1.0	0.05	1.0	1.0
1313.6910999999964	1.9922999999980675	trials	225.0	1.0	0.05	1.0	1.0
1317.6919999999955	1.9922999999980675	trials	315.0	1.0	0.05	1.0	1.0
1321.6928999999946	1.9923000000126194	trials	315.0	1.0	0.05	1.0	1.0
1325.6937999999936	1.9841000000014901	trials	360.0	1.0	0.05	1.0	1.0
1329.6946999999927	1.9841000000014901	trials	45.0	1.0	0.05	1.0	1.0
1333.6956000000064	1.9839999999967404	trials	315.0	1.0	0.05	1.0	1.0
1337.6965000000055	1.9839999999967404	trials	135.0	1.0	0.05	1.0	1.0
1341.6974000000046	1.9839999999967404	trials	180.0	1.0	0.05	1.0	1.0
1345.6983000000037	2.000399999989895	trials	135.0	1.0	0.05	1.0	1.0
1349.6992000000027	2.000400000004447	trials	360.0	1.0	0.05	1.0	1.0
1353.7001000000018	2.000400000004447	trials	135.0	1.0	0.05	1.0	1.0
1357.701000000001	1.9921999999933178	trials	90.0	1.0	0.05	1.0	1.0
1361.7019	1.9921999999933178	trials	270.0	1.0	0.05	1.0	1.0
1365.7027999999991	1.9922999999980675	trials	180.0	1.0	0.05	1.0	1.0
1369.7036999999982	1.9922999999980675	trials	90.0	1.0	0.05	1.0	1.0
1373.7045999999973	1.9922999999980675	trials	225.0	1.0	0.05	1.0	1.0
1377.7054999999964	1.9922999999980675	trials	225.0	1.0	0.05	1.0	1.0
1381.7063999999955	1.9922999999980675	trials	270.0	1.0	0.05	1.0	1.0
1385.7072999999946	1.9923000000126194	trials	45.0	1.0	0.05	1.0	1.0
1389.7082999999984	1.9922000000078697	trials	270.0	1.0	0.05	1.0	1.0
1393.7091999999975	1.9839999999967404	trials	45.0	1.0	0.05	1.0	1.0
1397.7100999999966	1.9839999999967404	trials	180.0	1.0	0.05	1.0	1.0
1401.7109999999957	1.9841000000014901	trials	90.0	1.0	0.05	1.0	1.0
1405.7118999999948	1.9841000000014901	trials	90.0	1.0	0.05	1.0	1.0
1497.845001	172.0576000000001	epochs					
1499.8372999999992	2.0086000000010245	trials	180.0	1.0	0.05	1.0	2.0
1503.8381999999983	1.9839999999967404	trials	180.0	1.0	0.05	1.0	2.0
1507.8390000000072	1.9840999999869382	trials	90.0	1.0	0.05	1.0	2.0
1511.8399000000063	1.9840999999869382	trials	360.0	1.0	0.05	1.0	2.0
1515.8408000000054	1.9839999999967404	trials	360.0	1.0	0.05	1.0	2.0
1519.8417000000045	2.000399999989895	trials	135.0	1.0	0.05	1.0	2.0
1523.8424999999988	2.000499999994645	trials	135.0	1.0	0.05	1.0	2.0
1527.843399999998	2.000500000009197	trials	45.0	1.0	0.05	1.0	2.0
1531.844299999997	2.000400000004447	trials	135.0	1.0	0.05	1.0	2.0
1535.845199999996	1.9922000000078697	trials	270.0	1.0	0.05	1.0	2.0
1539.8460999999952	1.9922000000078697	trials	225.0	1.0	0.05	1.0	2.0
1543.8469999999943	1.9922000000078697	trials	360.0	1.0	0.05	1.0	2.0
1547.8478000000032	1.9922999999980675	trials	225.0	1.0	0.05	1.0	2.0
1551.8487000000023	1.9922999999980675	trials	180.0	1.0	0.05	1.0	2.0
1555.8496000000014	1.9922999999980675	trials	225.0	1.0	0.05	1.0	2.0
1559.8505000000005	1.9922999999980675	trials	270.0	1.0	0.05	1.0	2.0
1563.8513999999996	1.9922999999980675	trials	225.0	1.0	0.05	1.0	2.0
1567.8522999999986	1.9841000000014901	trials	90.0	1.0	0.05	1.0	2.0
1571.8531999999977	1.9841000000014901	trials	270.0	1.0	0.05	1.0	2.0
1575.8540999999968	1.9841000000014901	trials	315.0	1.0	0.05	1.0	2.0
1579.854999999996	1.9841000000014901	trials	315.0	1.0	0.05	1.0	2.0
1583.8559999999998	1.9839999999967404	trials	180.0	1.0	0.05	1.0	2.0
1587.8568999999989	2.000400000004447	trials	135.0	1.0	0.05	1.0	2.0
1591.857799999998	2.000400000004447	trials	225.0	1.0	0.05	1.0	2.0
1595.858699999997	2.000400000004447	trials	360.0	1.0	0.05	1.0	2.0
1599.8595999999961	2.000500000009197	trials	180.0	1.0	0.05	1.0	2.0
1603.8604999999952	1.9922999999980675	trials	360.0	1.0	0.05	1.0	2.0
1607.8613999999943	1.9923000000126194	trials	90.0	1.0	0.05	1.0	2.0
1611.8622999999934	1.9923000000126194	trials	315.0	1.0	0.05	1.0	2.0
1615.8632999999973	1.9922000000078697	trials	45.0	1.0	0.05	1.0	2.0
1619.8641999999963	1.9922000000078697	trials	45.0	1.0	0.05	1.0	2.0
1623.8650999999954	1.9922999999980675	trials	45.0	1.0	0.05	1.0	2.0
1627.8659999999945	1.9923000000126194	trials	90.0	1.0	0.05	1.0	2.0
1631.8668999999936	1.9923000000126194	trials	135.0	1.0	0.05	1.0	2.0
1635.8678999999975	1.9922000000078697	trials	315.0	1.0	0.05	1.0	2.0
1639.8687999999966	1.9839999999967404	trials	315.0	1.0	0.05	1.0	2.0
1643.8696999999956	1.9841000000014901	trials	45.0	1.0	0.05	1.0	2.0
1647.8705999999947	1.9841000000014901	trials	270.0	1.0	0.05	1.0	2.0
1651.8715999999986	1.9839999999967404	trials	270.0	1.0	0.05	1.0	2.0
1655.8724999999977	2.000400000004447	trials	90.0	1.0	0.05	1.0	2.0
1725.567001	162.95252000000005	epochs					
1727.5592999999935	2.000400000004447	trials	315.0	1.0	0.05	1.0	3.0
1731.5601000000024	2.000400000004447	trials	180.0	1.0	0.05	1.0	3.0
1735.5608999999968	2.000400000004447	trials	225.0	1.0	0.05	1.0	3.0
1739.5617000000057	2.000499999994645	trials	270.0	1.0	0.05	1.0	3.0
1743.5626000000047	2.000399999989895	trials	225.0	1.0	0.05	1.0	3.0
1747.563399999999	1.9922000000078697	trials	225.0	1.0	0.05	1.0	3.0
1751.5641999999934	1.9922000000078697	trials	180.0	1.0	0.05	1.0	3.0
1755.5650000000023	1.9922999999980675	trials	90.0	1.0	0.05	1.0	3.0
1759.5659000000014	1.9921999999933178	trials	270.0	1.0	0.05	1.0	3.0
1763.5666999999958	1.9922999999980675	trials	360.0	1.0	0.05	1.0	3.0
1767.5675999999949	1.9922000000078697	trials	270.0	1.0	0.05	1.0	3.0
1771.5684000000037	1.9922999999980675	trials	270.0	1.0	0.05	1.0	3.0
1775.5693000000028	1.9921999999933178	trials	135.0	1.0	0.05	1.0	3.0
1779.5700999999972	1.9922999999980675	trials	90.0	1.0	0.05	1.0	3.0
1783.5709999999963	1.9841000000014901	trials	180.0	1.0	0.05	1.0	3.0
1787.5718999999954	1.9840000000112923	trials	90.0	1.0	0.05	1.0	3.0
1791.5727999999945	1.9840000000112923	trials	45.0	1.0	0.05	1.0	3.0
1795.5736000000034	1.9841000000014901	trials	315.0	1.0	0.05	1.0	3.0
1799.5745000000024	1.9841000000014901	trials	360.0	1.0	0.05	1.0	3.0
1803.5754000000015	2.000400000004447	trials	270.0	1.0	0.05	1.0	3.0
1807.5763000000006	2.000400000004447	trials	360.0	1.0	0.05	1.0	3.0
1811.5771999999997	2.000400000004447	trials	315.0	1.0	0.05	1.0	3.0
1815.5780999999988	2.000400000004447	trials	135.0	1.0	0.05	1.0	3.0
1819.578999999998	1.9922000000078697	trials	135.0	1.0	0.05	1.0	3.0
1823.579899999997	1.9922000000078697	trials	315.0	1.0	0.05	1.0	3.0
1827.580799999996	1.9922000000078697	trials	360.0	1.0	0.05	1.0	3.0
1831.5816999999952	1.9922000000078697	trials	225.0	1.0	0.05	1.0	3.0
1835.5825999999943	1.9922000000078697	trials	180.0	1.0	0.05	1.0	3.0
1839.5834999999934	1.9922000000078697	trials	360.0	1.0	0.05	1.0	3.0
1843.584400000007	1.9922999999980675	trials	45.0	1.0	0.05	1.0	3.0
1847.585300000006	1.9922999999980675	trials	225.0	1.0	0.05	1.0	3.0
1851.5862000000052	1.9922999999980675	trials	90.0	1.0	0.05	1.0	3.0
1855.5871000000043	1.9841000000014901	trials	135.0	1.0	0.05	1.0	3.0
1859.5880000000034	1.9841000000014901	trials	180.0	1.0	0.05	1.0	3.0
1863.5890000000072	1.9839999999967404	trials	45.0	1.0	0.05	1.0	3.0
1867.5899000000063	1.9840999999869382	trials	315.0	1.0	0.05	1.0	3.0
1871.5908000000054	2.000499999994645	trials	45.0	1.0	0.05	1.0	3.0
1875.5917000000045	2.000499999994645	trials	135.0	1.0	0.05	1.0	3.0
1879.5926999999938	2.000400000004447	trials	90.0	1.0	0.05	1.0	3.0
1883.5935999999929	2.000400000004447	trials	45.0	1.0	0.05	1.0	3.0
1935.673	162.31252000000018	epochs					
1937.6652999999933	2.0086000000010245	trials	135.0	1.0	0.05	1.0	4.0
1941.666200000007	1.9921999999933178	trials	360.0	1.0	0.05	1.0	4.0
1945.6670000000013	1.9921999999933178	trials	90.0	1.0	0.05	1.0	4.0
1949.6679000000004	1.9839999999967404	trials	315.0	1.0	0.05	1.0	4.0
1953.6686999999947	1.9841000000014901	trials	45.0	1.0	0.05	1.0	4.0
1957.6695999999938	1.9840000000112923	trials	360.0	1.0	0.05	1.0	4.0
1961.670499999993	1.9840000000112923	trials	180.0	1.0	0.05	1.0	4.0
1965.6713000000018	2.000499999994645	trials	360.0	1.0	0.05	1.0	4.0
1969.6722000000009	2.000400000004447	trials	180.0	1.0	0.05	1.0	4.0
1973.6731	2.000400000004447	trials	315.0	1.0	0.05	1.0	4.0
1977.673999999999	2.000400000004447	trials	225.0	1.0	0.05	1.0	4.0
1981.6748999999982	2.000400000004447	trials	225.0	1.0	0.05	1.0	4.0
1985.675700000007	1.9922999999980675	trials	135.0	1.0	0.05	1.0	4.0
1989.6766000000061	1.9922999999980675	trials	270.0	1.0	0.05	1.0	4.0
1993.6775000000052	1.9922999999980675	trials	45.0	1.0	0.05	1.0	4.0
1997.6784000000043	1.9922999999980675	trials	270.0	1.0	0.05	1.0	4.0
2001.6793000000034	1.9922999999980675	trials	225.0	1.0	0.05	1.0	4.0
2005.6802000000025	1.9922999999980675	trials	315.0	1.0	0.05	1.0	4.0
2009.6811000000016	1.9922999999980675	trials	315.0	1.0	0.05	1.0	4.0
2013.6820000000007	1.9922999999980675	trials	360.0	1.0	0.05	1.0	4.0
2017.6830000000045	1.9921999999933178	trials	45.0	1.0	0.05	1.0	4.0
2021.6839000000036	1.9839999999967404	trials	315.0	1.0	0.05	1.0	4.0
2025.6848000000027	1.9839999999967404	trials	135.0	1.0	0.05	1.0	4.0
2029.6857000000018	1.9841000000014901	trials	180.0	1.0	0.05	1.0	4.0
2033.686600000001	1.9841000000014901	trials	135.0	1.0	0.05	1.0	4.0
2037.6875	2.000499999994645	trials	360.0	1.0	0.05	1.0	4.0
2041.6885000000038	2.000399999989895	trials	135.0	1.0	0.05	1.0	4.0
2045.689400000003	2.000399999989895	trials	90.0	1.0	0.05	1.0	4.0
2049.690300000002	2.000499999994645	trials	270.0	1.0	0.05	1.0	4.0
2053.691200000001	1.9922999999980675	trials	180.0	1.0	0.05	1.0	4.0
2057.692200000005	1.9921999999933178	trials	90.0	1.0	0.05	1.0	4.0
2061.693100000004	1.9921999999933178	trials	225.0	1.0	0.05	1.0	4.0
2065.694000000003	1.9922999999980675	trials	225.0	1.0	0.05	1.0	4.0
2069.6949000000022	1.9922999999980675	trials	270.0	1.0	0.05	1.0	4.0
2073.695900000006	1.9921999999933178	trials	45.0	1.0	0.05	1.0	4.0
2077.696800000005	1.9922999999980675	trials	270.0	1.0	0.05	1.0	4.0
2081.6977000000043	1.9922999999980675	trials	45.0	1.0	0.05	1.0	4.0
2085.6986999999936	1.9922000000078697	trials	180.0	1.0	0.05	1.0	4.0
2089.699600000007	1.9840999999869382	trials	90.0	1.0	0.05	1.0	4.0
2093.7005999999965	1.9839999999967404	trials	90.0	1.0	0.05	1.0	4.0
2126.216001	163.8656000000001	epochs					
2128.2082999999984	2.0086000000010245	trials	180.0	1.0	0.05	1.0	5.0
